"date","url","title","category;","content"
"02/26/2020","https://finance.detik.com/berita-ekonomi-bisnis/d-4916114/kemnaker-awasi-tka-di-meikarta","Kemnaker Awasi TKA di Meikarta","finance;",""
"02/26/2020","https://finance.detik.com/berita-ekonomi-bisnis/d-4916199/bni-digitalkan-bni-java-jazz-2020","BNI Digitalkan BNI Java Jazz 2020","finance;","Menjelang penyelenggaraan BNI Java Jazz Festival 2020, BNI terus melakukan kejutan. Berkolaborasi dengan penyelenggara, BNI mengadakan #BNIJJFStar untuk mewujudkan mimpi masyarakat yang ingin merasakan berada di panggung yang sama artis idolanya seperti Ardhito Pramono, Cantika Abigail, Rizky Febian serta artis Internasional yaitu RINI. #BNIJJFStar diharapkan dapat membuka kesempatan bagi para generasi muda berbakat untuk dapat menyalurkan potensinya dan berani melakukan hal baru. Hal ini sejalan dengan semangat #BNItuDigital dan BNI Mobile Banking yang membebaskan diri dari hal biasa dan rutin. Direktur Bisnis Konsumer BNI Corina Leyla Karnalies menuturkan, berangkat dari tema BNI Java Jazz Festival 2020 yaitu doodle, pada tahun ini BNI juga mengenalkan The Funky Bunch. The Funky Bunch merupakan karakter unik yang akan ikut serta dalam kemeriahan BNI Java Jazz Festival 2020. SCROLL TO CONTINUE WITH CONTENT Para pengunjung pun dapat ""menemui"" karakter-karakter baru ini di booth-booth BNI. Harapannya, The Funky Bunch akan membawa experience baru yang belum pernah ada di festival musik lainnya sehingga menjadi momen yang berkesan bagi para pengunjung. Tentunya, pengunjung juga dimanjakan dengan promo-promo spesial dari BNI. Mulai dari buka tabungan di BOX (BNI digitalOutlet eXperience), yang memungkinkan pembukaan rekening hanya dalam waktu 3 menit dan berkesempatan mendapatkan hadiah-hadiah menarik. Pengunjung yang baru men-download BNI Mobile Banking pun berkempatan mendapat custom TapCash bersaldo. Pada saat event, pengunjung juga dapat menukarkan BNI Poin+ dengan e-voucher senilai Rp 200.000 dan tentunya diskon hingga 20% untuk pembelian official merchandise BNI Java Jazz Festival 2020 bagi pemegang Kartu Debit dan Kartu Kredit BNI. Direktur Bisnis Konsumer BNI Corina Leyla Karnalies (tengah) menyerahkan mock up BNI TapCash edisi khusus BNI Java Jazz Festival 2020 kepada President Director Java Festival Production Dewi Gontha (kanan) dan Triawan Munaf (kiri) pada Press Conference di Jakarta, Rabu (26 Februari 2020). Segala transaksi pembayaran BNI Java Jazz Festival 2020 dapat dilakukan menggunakan berbagai produk digital dari BNI. "
"02/26/2020","https://finance.detik.com/moneter/d-4916133/ojk-siapkan-stimulus-ekonomi-antisipasi-dampak-corona","OJK Siapkan Stimulus Ekonomi Antisipasi Dampak Corona","finance;","Kemudian relaksasi pengaturan ini akan diberlakukan sampai dengan 1 (satu) tahun setelah ditetapkan, namun dapat diperpanjang bila diperlukan.""Kebijakan stimulus OJK ini diharapkan bisa memitigasi dampak pelemahan ekonomi global terhadap pertumbuhan dan stabilitas ekonomi nasional,"" kata Wimboh dalam siaran pers, Rabu (26/2/2020).Dia menjelaskan ke depan ekonomi global masih akan menemui tantangan yang cukup besar. Misalnya peningkatan tensi geopolitik di Timur Tengah dan belum selesainya isu perang dagang antara AS dan China, dunia juga dihadapkan pada kasus virus Corona yang dampaknya tidak dapat dikatakan kecil bagi perekonomian global.Salah satu dampak langsung dari perkembangan tersebut adalah ke perekonomian China yang kontribusinya terhadap PDB dunia mencapai 16%. Diperkirakan pertumbuhan ekonomi China akan mencapai level terendah selama 29 tahun terakhir yang akan berdampak pula pada pertumbuhan perekonomian negara- negara mitra dagangnya.Dampak dari masih tingginya ketidakpastian perekonomian global juga tercermin di perekonomian domestik, terutama pada investasi dan kinerja eksternal yang cenderung melambat.Dari hasil rapat dewan komisioner bulanan OJK disebutkan hingga 21 Februari 2020, pasar saham melemah sebesar 0,97% mtd atau 6,62% ytd menjadi 5.882,3. Pelemahan ini lebih disebabkan pada kekhawatiran investor terhadap virus corona yang akan berdampak pada kinerja emiten di Indonesia.Lalu untuk pasar SBN masih menguat dengan yield yang turun sebesar 17,3 bps mtd di tengah net sell oleh investor nonresiden sebesar Rp6,8 triliun. Perbankan tercatat menjadi penopang pasar SBN domestik dengan melakukan pembelian sebesar Rp52,4 triliun. Kemudian untuk kredit perbankan tercatat 6,1% yoy, ditopang oleh kredit investasi yang tetap tumbuh double digit di level 10,48% yoy. Piutang pembiayaan Perusahaan Pembiayaan meningkat 2,4% yoy. Rasio NPL gross sebesar 2,77% (NPL net: 1,04%) dan Rasio NPF sebesar 2,56%.Dana Pihak Ketiga (DPK) perbankan tumbuh sebesar 6,8% yoy, lebih tinggi dari capaian tahun lalu. Selain itu, sepanjang Januari 2020, industri asuransi berhasil menghimpun premi sebesar Rp26,2 triliun dan tumbuh sebesar 9,7% yoy.Kemudian penghimpunan dana melalui pasar modal telah mencapai Rp14 triliun. Jumlah emiten baru pada periode tersebut sebanyak 9 perusahaan dengan pipeline penawaran sebanyak 53 emiten dengan total indikasi penawaran sebesar Rp21,2 triliun.Risiko nilai tukar perbankan berada pada level yang rendah, dengan rasio Posisi Devisa Neto (PDN) sebesar 2,21%, jauh di bawah ambang batas ketentuan sebesar 20%. Liquidity coverage ratio dan rasio alat likuid/non-core deposit masing- masing sebesar 208,73% dan 101,49%, jauh di atas threshold masing-masing sebesar 100% dan 50%.Permodalan lembaga jasa keuangan terjaga stabil pada level yang tinggi. Capital Adequacy Ratio perbankan sebesar 22,83%. Sejalan dengan itu, Risk-Based Capital industri asuransi jiwa dan asuransi umum masing-masing sebesar 789% dan 345%, jauh di atas ambang batas ketentuan sebesar 120%.Video WHO soal Ilmuwan China Temukan Virus Corona Baru Mirip Penyebab Covid-19Video WHO soal Ilmuwan China Temukan Virus Corona Baru Mirip Penyebab Covid-19(kil/dna)coronavirus coronacoronavirusojk"
"02/26/2020","https://finance.detik.com/berita-ekonomi-bisnis/d-4916106/saran-buat-anies-rk-yang-mangkir-rapat-banjir-di-dpr","Saran Buat Anies-RK yang Mangkir Rapat Banjir di DPR","finance;","Menurut Yayat, masalah yang terjadi di lapangan seharusnya bisa diselesaikan oleh level bawah Gubernur seperti Walikota, Camat sampai lurah. Mereka bisa melaporkan langsung penanganan kepada gubernur.""Jadi gubernurnya tidak perlu menghabiskan energi. Ketika gubernur tahu butuh pemerintah pusat untuk bantuan menyelesaikan masalah dia bisa bilang 'tolong bantu saya',"" kata dia. Yayat menambahkan, kedatangan gubernur ke DPR harus mewakili suara rakyat yang sudah memilihnya. Pasalnya ada warga DKI Jakarta yang sudah mengalami banjir 3-5 kali dalam waktu dua bulan.""Gubernur adalah suara rakyat yang sudah memilih dia, gubernurnya nggak perlu baper. Bilang aja, saya terima kritikan dan saya akan perbaiki karena warga saya butuh bantuan. Dengan koordinasi itu, bisa diselesaikan sama-sama tidak perlu takut lah. Kalau tidak mau dikritik ya tidak usah jadi pemimpin,"" jelasnya.Menurut Yayat, pemimpin adalah orang yang bisa menyelesaikan masalah secara bergotong royong agar persoalan bisa lebih cepat diselesaikan.Video: Hujan Deras Guyur Jakarta, Banjir Rendam 3 RT di JagakarsaVideo: Hujan Deras Guyur Jakarta, Banjir Rendam 3 RT di Jagakarsa(kil/dna)banjirbanjir jakartaanies baswedanridwan kamil"
"02/26/2020","https://finance.detik.com/berita-ekonomi-bisnis/d-4916160/ri-bakal-punya-destinasi-wisata-sejarah-islam-di-ancol","RI Bakal Punya Destinasi Wisata Sejarah Islam di Ancol","finance;",""
"02/26/2020","https://finance.detik.com/perencanaan-keuangan/d-4916082/cara-biar-nggak-tertipu-travel-umrah-abal-abal-seperti-first-travel","Cara Biar Nggak Tertipu Travel Umrah Abal-abal Seperti First Travel","finance;","Arfi menjelaskan, saat ini ada 979 travel umrah yang terdaftar di Kementerian Agama. Artinya, hanya 979 travel umroh yang dikategorikan dalam status legal.""Sampai saat ini jumlah penyelenggara umrah di Indonesia 979. Di luar itu nggak terdaftar,"" kata Arfi di Hotel Shangri-La, Jakarta, Rabu (26/2/2020).Kedua, pastikan tidak tergiur dengan harga murah. Kementerian Agama telah menetapkan harga referensi umrah yaitu Rp 20 juta. Di bawah itu, calon jemaah diminta untuk perlu berhati-hati.""Ada keputusan Kementerian Agama harga referensi (umrah) Rp 20 juta. Ini sebagai acuan bagi masyarakat. Walau bagaimanapun masyarakat 80% yang melaksanakan ibadah umrah dominan dari masyarakat pedesaan sehingga dia tergiur dengan harga murah,"" ucapnya. Arfi menegaskan jangan sampai ada calon jemaah yang percaya lagi dengan biaya umrah murah. Menurutnya, untuk pergi ke tanah suci dengan biaya Rp 20 juta sudah sangat ideal.""Kalau mau umrah tidak ada lagi harga Rp 14-16 juta. Apalagi sekarang biaya visa, biaya asuransi dan sebagainya. Kalau masyarakat menjual dengan harga itu (Rp 14-16 juta) bukan ke tanah suci, tapi ke tanah abang,"" ucapnya.Video: Della Puspita Polisikan Rekan Artis atas Dugaan PenipuanVideo: Della Puspita Polisikan Rekan Artis atas Dugaan Penipuan(dna/dna)first traveltravel umrah"
"02/26/2020","https://finance.detik.com/moneter/d-4916086/jadi-korban-gagal-bayar-asuransi-bisa-mengadu-ke-sini","Jadi Korban Gagal Bayar Asuransi? Bisa Mengadu ke Sini","finance;","Belakangan persoalan gagal bayar nasabah asuransi mencuat. Salah satu Contohnya masalah gagal bayar PT Jiwasraya (Persero).Merespons situasi tersebut, dibentuklah pusat pengaduan untuk memberikan bantuan hukum bagi para nasabah gagal bayar asuransi.""Jadi nanti nasabah-nasabah, kan pembayaran yang sudah jatuh tempo ini kan belum pasti kapan mau dibayarkan. Itu mereka bisa datang langsung atau kontak ke nomor admin kita, membawa data dan sebagainya. Nanti kita buatkan surat kuasa,"" kata Tim Advokat Perhimpunan Advokat Pro Demokrasi (PAPD) Agus Rihat P Manalu kepada detikcom, Rabu (26/2/2020).Dia menjelaskan pusat pengaduan tersebut mulai dibuka per hari ini, Rabu (26/2/2020). Masyarakat yang merasa dipersulit mengklaim polisnya bisa datang langsung ke Sekretariat PAPD di Jl. Damai II No. 2H, Cipete Utara, Jakarta Selatan, atau dapat menghubungi 08128678757. Nasabah hanya perlu membawa bukti polis dan KTP saja. Dia memastikan bantuan hukum yang diberikan tidak dipungut biaya.""Oh nggak, kita nggak pungut biaya. Kita nggak pungut biaya. Kita kan sudah biasa melakukan advokasi juga nggak patok biaya karena ini kan perjuangan kita untuk melawan ketidakadilan,"" jelasnya.Dia menjelaskan, pihaknya tak hanya memberikan bantuan hukum bagi korban Jiwasraya tapi juga pemegang polis Asuransi Jiwa Bersama (AJB) Bumiputera.""Kedua perusahaan asuransi tersebut mungkin tidak likuid dan membutuhkan perhatian segera. Diperkirakan 7 juta jiwa dengan lebih dari 18 juta polis yang sebagian besar merupakan masyarakat berpenghasilan rendah dan menengah menjadi korban dalam kasus tersebut,"" lanjutnya."
"02/26/2020","https://finance.detik.com/berita-ekonomi-bisnis/d-4916055/erick-thohir-bumn-bukan-badan-usaha-milik-nenek-lu","Erick Thohir: BUMN Bukan Badan Usaha Milik Nenek Lu!","finance;","Erick menekankan, kementerian ialah pengelola. Jadi kementerian tidak bisa memperlakukan BUMN seolah milik pribadi.""Kita itu pengelola Badan Usaha Milik Negara, bukan Badan Usaha Milik Nenek Lu, artinya itu sudah pribadi,"" tambahnya.Erick melanjutkan, karena pengelola maka kementerian punya batasan-batasan dalam pengambilan keputusan dan tidak bisa disamakan dengan swasta.""Jelas kita pengelola kalau pengelola ada batasan-batasan tidak bisa kita cemburu seperti Pak CT mengelola perusahaannya karena itu pribadi,"" ujarnya. ""Ini label negara yang diyakini oleh para pengambil keputusan di BUMN,"" tutupnya.Video: KemenP2MI-KemenHAM Jalin Kerja Sama Tingkatkan Kualitas Perlindungan PMIVideo: KemenP2MI-KemenHAM Jalin Kerja Sama Tingkatkan Kualitas Perlindungan PMI(acd/dna)bumnkementerian bumnbos bumn"
"02/26/2020","https://finance.detik.com/properti/d-4915865/jokowi-janji-buka-3-juta-lapangan-kerja-di-ibu-kota-negara-baru","Jokowi Janji Buka 3 Juta Lapangan Kerja di Ibu Kota Negara Baru","finance;","Presiden Joko Widodo (Jokowi) menugaskan para menterinya untuk merampungkan masterplan pembangunan Ibu Kota Negara (IKN) baru di Kalimantan Timur. Masterplan itu termasuk bagaimana mempersiapkan IKN agar memiliki daya tarik bagi penduduk. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengaku mendapatkan tugas dari Jokowi, salah satunya menghitung berapa jumlah penduduk yang akan tinggal di IKN baru nantinya. ""Ini tergantung pada daya tarik IKN itu akan datang. Jadi pusat-pusat daya tarik baru yang diperlukan di IKN ini perlu dikembangkan. Termasuk cluster-cluster pendidikan, kesehatan dan entertain,"" terangnya di kompleks Istana Kepresidenan, Jakarta, Rabu (26/2/2020). SCROLL TO CONTINUE WITH CONTENT Suharso mencontohkan, magnet yang dimaksud seperti menempatkan universitas terbaik, rumah sakit ternama hingga kawasan hiburan. Tujuannya untuk menarik masyarakat tinggal di IKN. Nah selain magnet-magnet tersebut, pemerintah menyadari bahwa yang paling penting adalah tersedianya lapangan pekerjaan. Pemerintah pun menjanjikan akan ada sekitar 3 juta lapangan kerja baru di IKN nantinya. ""Yang paling penting sebenarnya, tinggal di sana itu juga ada jaminan pekerjaan. Kita akan menciptakan berbagai lapangan pekerjaan baru sampai kira-kira sekitar 3 jutaan lapangan pekerjaan baru. Orientasinya tentu lapangan pekerjaan di sektor sektor yang ramah lingkungan, sektor-sektor green, sektor-sektor yang sesuai dengan jalannya SDG's,"" terangnya. Intinya, lanjut Suharso, pemerintah akan membuat IKN baru sebagai tempat tinggal yang nyaman dengan biaya hidup yang murah dan kesejahteraan yang memadai. ""Pak Presiden memberikan pengarahan kepada kami untuk mendetilkan, merinci semua persiapan perencanaan yang secara makro, secara master plan,"" tutupnya."
"02/26/2020","https://finance.detik.com/detiktv/d-4916004/video-erick-thohir-banyak-pihak-swasta-akali-bumn","Video Erick Thohir: Banyak Pihak Swasta Akali BUMN!","finance;","Menteri BUMN Erick Thohir mempersilakan perusahaan swasta untuk menjalin kerja sama dengan BUMN. Namun Erick mengingatkan agar swasta tidak menggerogoti dan mengakali BUMN."
